Close,Volume,Open,High,Low
204.41,"1,13,62,045",203.13,204.44,202.6901
204.41,11362050,203.28,204.44,202.6901
202.73,16935220,201.41,203.1323,201.36
201.55,27316740,203.17,204.49,200.65
197.92,31110640,198.68,199.495,197.05
199.74,20899720,200.29,201.57,199.57
199.8,26067510,197.77,200.99,197.35
195.57,21070330,198.43,199.26,195.29
198.58,18220420,198.54,200.16,198.17
198.78,47800590,198.8,200.85,198.15
199.46,21513990,200.37,200.61,198.03
197.87,21124240,199.68,199.88,197.31
198.45,26551000,196.05,200.29,195.21
193.89,14669140,192.9,194.96,192.17
192.74,18761470,191.545,193.5863,190.3
194.15,21674630,194.7,196.79,193.6
194.19,18253190,193.95,195.97,193.385
194.81,26932880,194.86,196,193.6
192.58,26220850,191.81,195.37,191.62
190.15,30684390,186.51,191.92,185.77
185.22,22526310,183.08,185.47,182.1489
182.54,29773430,184.28,184.99,181.14
179.64,30967960,175.44,179.83,174.52
173.3,40396070,175.6,177.92,170.27
175.07,27043580,176.23,177.99,174.99
178.3,21218410,177.95,179.23,176.67
177.38,28481170,176.42,179.35,176
178.23,27948160,178.92,180.59,177.91
